name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
VirusShare_1f38cc1295b0e6b5c14fad185407ac48,2147483972,32,40,52,51760,48834,51692,52360,1,0,17,2,0,0,0,0,0,0,1
VirusShare_01f561f323829106cd8bf48dcc63b621,65956,32,40,52,123300,73928,115608,141084,1,0,17,14,0,0,0,0,0,0,1
VirusShare_1ec085e40ed7c3801b4042345f114e35,4194912,32,40,52,50956,46544,50864,51676,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2a94de50251556fef9540ca74cf62f78,4194976,32,40,52,98828,76656,87540,113072,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2a2cbd867c27872f5f94313a1636f02b,134512996,32,40,52,42368,38774,42300,43964,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e592f406eddecc2db0e7a0a1de66d29,33108,32,40,52,80000,75100,79884,122804,1,0,18,3,0,0,0,0,0,0,1
VirusShare_2a5cd6970d7c96beff8af2395c08950f,4194720,32,40,52,56964,44352,52704,78140,1,0,18,5,0,0,0,0,0,0,1
VirusShare_2aa6a7ab8b74fe33d677d56b5cebcf61,4194720,32,40,52,43644,41280,43576,44364,1,0,18,2,0,0,0,0,0,0,1
VirusShare_1e89173b663f7066e5fefbf70698e1ee,268435952,32,40,52,166936,131688,163776,189244,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2b60fcbbee9570c1452170288ba7876c,4194912,32,40,52,80688,74352,80584,81388,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2aaca856ef62c439a60b0fc07eb995f4,65956,32,40,52,47656,42332,47588,48636,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1ff50d7dfa3137a21c7ad659d0e0cada,4194976,32,40,52,101180,80784,90720,115748,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2ab6f654e09c9f4ba4b8327d05837e64,134512996,32,40,52,37088,29702,35776,37600,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2a427fd411322aa559eda726a9c7218a,134512996,32,40,52,63632,59190,63564,65404,1,0,17,2,0,0,0,0,0,0,1
VirusShare_2bd6cdd2af74ef472a7dd8a6bb5ee942,4194976,32,40,52,111752,89296,100712,126272,1,1,22,6,0,0,0,0,0,0,1
VirusShare_2adffcccc9d366cd210311fed19b8c99,134512996,32,40,52,61352,43512,58432,84772,1,0,17,5,0,0,0,0,0,0,1
VirusShare_2a75341c43a8ece5e0f05236ea5c7195,4194720,32,40,52,74244,57024,71060,96532,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1f115773e81ca7cdde7b887386eb81d0,268435992,32,40,52,77896,65228,74764,103736,2,0,22,5,0,0,0,0,0,0,1
VirusShare_1fed83640d26bba10f639f30f736df63,65956,32,40,52,93484,77856,89188,114664,1,0,17,14,0,0,0,0,0,0,1
VirusShare_01ead1f5a289ff3b9d5a4d634797df86,4194720,32,40,52,59176,47712,56336,81772,1,0,18,5,0,0,0,0,0,0,1
VirusShare_1ebdbe21b35f5bb1291773961dbabdfd,4194912,32,40,52,95588,87728,94128,95592,1,0,18,2,0,0,0,0,0,0,1
VirusShare_2bbe6d63972bdcf9b23e3c4fa472f968,134513000,32,40,52,45260,41105,44332,45952,1,0,17,2,0,0,0,0,0,0,1
VirusShare_1e7dde8a9a420184092312091f7fc7dc,65956,32,40,52,74400,66316,72912,74256,1,0,17,2,0,0,0,0,0,0,1
